0,1,2,3,4,5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Casiotone For The Painfully Alone,Etiquette,Nashville Parthenon,2006,TRAADQX128F422B4CF,2bGhSMe3u2qwSgETq0Kab3,0.816,0.42,0,-10.829,1,0.109,0.00189,0.686,0.059,0.852,141.953,175733
John Hammond,Bluesman,I Can't Be Satisfied,2002,TRAADOF12903CAA1C1,4orRKt7RWHaArfC6McKHcd,0.651,0.528,0,-11.555,1,0.04,0.422,0.015,0.344,0.908,123.266,197147
Loudon Wainwright III,Grown Man,Human Cannonball,1995,TRAADLX128F1469250,0lPdDLJLEaqiBfyh0qnjO3,0.503,0.182,3,-14.824,1,0.0302,0.807,0.000038,0.0923,0.293,102.748,190427
The Suicide Machines,A Match & Some Gasoline,Burning In The Aftermath,2003,TRAADLH12903CA70EE,3HEJpfNiNs7wsUxpMh9n0X,0.464,0.999,2,-2.242,1,0.156,0.00138,0,0.285,0.148,115.807,95853
Ec8or,Ec8or,Cocain Ducks,1995,TRAADRN128F932D607,5qqX3y9HHCDJOeSWe2Vkzy,0.46,0.847,6,-9.548,1,0.153,0.0205,0.105,0.385,0.174,95.444,217227
Stevie Ray Vaughan,Greatest Hits,Crossfire,1992,TRAADNA128F9331246,5bAOP88AnFD11mTj0HisF2,0.477,0.715,8,-7.81,1,0.0329,0.037,0.00852,0.0991,0.891,116.102,249893
R.L. Burnside,A Bothered Mind,Glory Be,2004,TRAADMH128F9343E59,2XTHsWwgPQTziAjqn9OiGN,0.749,0.705,2,-7.062,1,0.0303,0.0197,0.139,0.172,0.727,89.992,277773
Lost Boyz,Love_ Peace & Nappiness,Certain Things We Do,1997,TRAADYI128E078FB38,343iM3EtxR7VG6ike05upP,0.686,0.547,7,-11.19,1,0.193,0.0119,0,0.0442,0.737,90.263,269760
The Berzerker,The Berzerker,Deform (live),2000,TRAAEUB12903CDD3EA,10x6TgoIGRvTTMEE4g9VCr,0.273,0.996,2,-6.068,1,0.399,0.00126,0.0157,0.309,0.0492,114.835,165616
Kings Of Leon,Holy Roller Novocaine,Wicker Chair,2003,TRAAEWG128F930B3A4,3L2vZkWxlGn9Ix3ahwozGF,0.645,0.704,0,-5.437,1,0.0309,0.0592,0,0.17,0.475,116.818,187933
Francis Dunnery,Hometown 2001,Too Much Saturn,1995,TRAAENC128F1451DE9,6QQvbuTj01JpaESjxm5kMY,0.575,0.825,10,-5.622,1,0.0634,0.249,0,0.317,0.908,129.82,246067
Xcultures,One World One People,Sudanese Dance,2000,TRAAFRU128F9339158,5ngJLwHD19E993QJSuEN3V,0.671,0.802,1,-6.947,1,0.0378,0.00503,0.0946,0.0879,0.827,124.975,273533
Heavy D / McGruff,Waterbed Hev,Wanna Be A Player,1997,TRAAFUJ128F933F42B,0KZdqVXej6dmPRH25vOhp0,0.838,0.742,6,-9.032,0,0.305,0.0719,0,0.269,0.719,97.013,161400
Soda Stereo,Canción Animal,Entre Caníbales,1990,TRAAFMS128F933AB23,060aWWmC9CrLqbhzHQifQf,0.634,0.677,4,-7.149,0,0.0278,0.018,0.0154,0.946,0.535,110.919,294147
NOFX,White Trash ......,Stickin In My Eye,1992,TRAAFJW128F428A424,46mov5j25a6BXrxNQKUwiA,0.299,0.97,9,-7.494,1,0.0799,0.0011,0.00752,0.0994,0.232,153.528,144467
Black Eyed Peas,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Let's Get It Started,2004,TRAAGCZ128F93210FD,1SYLSKOsUYw7NHkGIH9GVo,0.784,0.531,11,-11.773,0,0.0604,0.54,0.0000546,0.105,0.797,82.659,269853
Nine Inch Nails,Things Falling Apart,Metal,2000,TRAAGEC128E079252C,5rrGRrNaqsPxMy5xZ8KOue,0.662,0.35,5,-13.381,1,0.033,0.14,0.84,0.117,0.0393,126.086,426000
Suburbs,Un Titre de Toune,Monde De Fou,2005,TRAAGKQ128F92EAF39,11ket82JUfkfa0cpmBULkg,0.481,0.916,1,-4.349,1,0.0449,0.0241,0.0000997,0.057,0.853,183.701,187240
Savage Garden,Affirmation,You Can Still Be Free,1999,TRAAGPH128F4273C8D,6meQO80LLQpNiGLfs2BFIh,0.457,0.357,0,-12.636,1,0.0326,0.241,0.0000679,0.0625,0.0396,118.029,258267
Inspiral Carpets,The Singles,Commercial Reign,1990,TRAAGVF128E0789785,2ERdxKQ5IJo41PqpQA7VNP,0.506,0.902,9,-4.705,1,0.0458,0.000198,0.156,0.251,0.764,113.618,285093
Slim Whitman,Country Lovers. Vol. 3,Indian Love Call,1990,TRAAGPF12903CE027E,0WrIaFPKeJtGr1SUeKuYH9,0.242,0.261,3,-7.895,1,0.0335,0.97,0.000253,0.1,0.386,203.913,190653
Queens Of The Stone Age,Lullabies To Paralyze,I Never Came,2005,TRAAGPJ128F428CD1B,5y1Few8WyakfoyMvKYZigw,0.572,0.517,2,-7.834,1,0.0277,0.0589,0.0676,0.0776,0.493,115.44,288467
T.G. Sheppard,The Very Best Of,You Feel Good All Over,2002,TRAAGOH128F42593CE,5ybOUYzB63VSxu4LJT9xt4,0.622,0.3,5,-12.789,1,0.0259,0.758,0.000127,0.332,0.34,82.02,191960
Smartbomb,Yeah.  Well_ Anyway....,Complicate It,2001,TRAAGKF128F932D5A2,4cFpTG1nXTikXoDersiQvE,0.57,0.943,0,-2.802,1,0.0687,0.00179,0.00000724,0.296,0.813,132.049,233600
Mira,Openbare Weg,Openbare Weg,2006,TRAAHMO128F92DE7C9,5wsNvmX0ocP2UhMkLq1lNG,0.591,0.342,4,-8.3,1,0.0319,0.93,0.0000239,0.0968,0.179,84.678,182333
Redman,Malpractice,WKYA (drop),2001,TRAAHEG128E07861C3,3uRytee5BNgbkgsOnBoRNI,0.588,0.649,1,-9.808,0,0.484,0.321,0,0.299,0.886,85.02,124200
Citizen Kaned,Tip World Singles 2000,President Johnson,2000,TRAAHPZ12903CB4643,73hCttxWznAFbn707d8FMV,0.756,0.804,11,-8.371,1,0.131,0.00608,0.761,0.526,0.332,108.056,387333
Organized Konfusion,The Equinox,Hate,1997,TRAAHZP12903CA25F4,5nU3MSl9ywGO89GuUYagm1,0.844,0.475,11,-9.027,1,0.414,0.00503,0,0.19,0.658,88.107,198467
Carl Cox Vs Yousef,Dave Pearce Best of the Dance Years 1988 - 1992,I Want You (Forever),1991,TRAAHYV128F932A425,4jRDv3VD1713ogKtgCdc5D,0.671,0.969,4,-5.683,0,0.0475,0.000475,0.822,0.0471,0.288,130,475640
Wolfmother,White Feather,White Feather,2009,TRAAIYR12903CD290D,2Ev05oD46eZJzrcNc1V1ac,0.571,0.866,9,-4.524,1,0.0479,0.000185,0.0000345,0.303,0.657,111.388,184053
Martina McBride,Timeless,I Can't Stop Loving You,2005,TRAAIAE128F42AC53D,4PTwPX9dK57yDtpEQOzFUW,0.473,0.238,7,-11.829,1,0.0252,0.739,0.000131,0.113,0.355,66.657,261947
Les Ogres De Barback,Irfan_ le héros,Niev nietch nievitch,1999,TRAAINT128F933BBE0,6Mbh2rYhQc28UaGxkpKPTT,0.639,0.762,4,-5.76,0,0.0701,0.406,0.524,0.0563,0.93,137.165,255440
Boyz II Men,Legacy,On Bended Knee,1994,TRAAIHL128F92E6DDA,7MYmo0JJJDmu4MZTSAF9y3,0.631,0.516,8,-8.225,1,0.0353,0.413,0,0.115,0.18,116.654,329800
The Roches,Can We Go Home Now,Christlike Roche,1995,TRAAJAC128F148B530,6dOmrYKuKtrfuyw2Pqx27Z,0.423,0.121,2,-13.303,0,0.0324,0.962,0.000205,0.119,0.16,93.463,338333
Maxi Priest,Best Of Maxi Priest,Groovin' In The Midnight,1991,TRAAJYX128F4255568,6BD0vChKASpviIQeCTd7Yy,0.652,0.645,10,-8.482,0,0.0414,0.0401,0.0000229,0.0739,0.555,92.945,303533
Bob Neuwirth,99 Monkeys,Biding Her Time,1990,TRAAJJV128F42A2F99,2JmrfTKt2YYDwwdglDR7uw,0.538,0.0592,4,-17.066,1,0.042,0.8,0.000103,0.0859,0.326,151.503,241067
The Verve Pipe,Underneath,Medicate Myself,2001,TRAAJJG128F4284B27,02qhx6dsmIZJa4B1q6N6UD,0.511,0.781,9,-4.641,1,0.0426,0.00143,0,0.0826,0.424,133.575,292827
Foo Fighters,In Your Honor,Hell,2005,TRAAKDF128F92FA302,7xT9J7vWvVEx7AfrNZBcZR,0.177,0.941,7,-5.104,1,0.112,0.0000126,0.00302,0.314,0.313,153.134,117000
Porcupine Tree,Signify (Special Edition),Waiting,1997,TRAAKAS128F4246013,6IUwal3RAR3Vf62Eu3sd4E,0.533,0.437,6,-12.132,0,0.0255,0.00131,0.393,0.0597,0.455,94.019,264480
Perrey And Kingsley,The Out Sound From Way In!,Gossippo Perpetuo,2001,TRAALDU128F930D56B,0ZYDe0Vx7yK49ftUFnk1kF,0.605,0.86,7,-12.4,1,0.0407,0.616,0.914,0.144,0.964,136.032,128800
Enthroned,Pentagrammaton,The Vitalized Shell,2010,TRAALNG12903D014E9,747NqQ2Dxs6JtF8KmW7YyG,0.163,0.993,0,-4.765,0,0.111,0.000128,0.0235,0.435,0.0349,136.528,241053
Johnny Osbourne,Auralux Reggae Showcase,Lend Me Your Chopper,2004,TRAALUX12903CFD50B,0bsEQ4Ryqpaa0hPAlOKoCB,0.717,0.685,6,-9.979,1,0.194,0.000848,0.0000396,0.115,0.55,163.793,212320
Pearl Jam,Pearl Jam,Inside Job,2006,TRAAMES128F42AF068,73XSeP4sfxvHBl7eNsOHtj,0.283,0.487,4,-7.979,0,0.0397,0.329,0.0101,0.205,0.0739,109.685,428560
DJ Quik,The Best of DJ Quik - Da Finale,Born and Raised In Compton,1991,TRAAMJY128F92F5919,23trPalTVGb4H4CzyHrQ9W,0.733,0.442,10,-14.498,0,0.37,0.0239,0,0.133,0.86,181.634,205560
Bare Jr.,Boo-Tay,Naked Albino,1998,TRAAMXP128F4264F6A,6grcvY5QjDXvV9G4NfOmUa,0.408,0.708,10,-7.334,1,0.0462,0.0499,0.00000568,0.746,0.366,107.467,253600
Diesel Boy,Venus Envy,Cooler Than You,1998,TRAANBH128F9345A6C,4kRjxTE55dL0r4nVhH2aRB,0.437,0.966,11,-4.788,1,0.0653,0.00053,0.000249,0.138,0.743,111.907,124160
Nine Inch Nails,Things Falling Apart,The Frail,1999,TRAANTZ128E0792529,0f23gGmTozARE1nllTlNlN,0.141,0.00327,0,-34.883,1,0.045,0.958,0.899,0.243,0.199,79.699,114040
Cradle Of Filth,Bitter Suites to Succubi,Summer Dying Fast,1994,TRAANLO128F422AE37,4xGL0QDJxlGhLKXmHso1Ie,0.205,0.95,2,-5.769,0,0.108,0.000925,0.1,0.432,0.0635,97.761,321347
Susana Seivane,Os soños que volven,Para Milladoiro,2010,TRAAODT12903D0D16E,0aDBnsvnmaDAHusNJnYccE,0.378,0.492,10,-12.501,1,0.0284,0.00187,0.81,0.0796,0.215,152.041,353093
Moss,Never Be Scared / Don't Be A Hero,Silent Hill,2009,TRAAOXM12903CFB3B0,5HWBbbJWSHsQC4ArJJSdnM,0.266,0.699,9,-7.491,0,0.0369,0.00384,0.631,0.511,0.133,111.115,329573
Test Icicles,For Screening Purposes Only,Snowball,2005,TRAAOIN128F9303790,7jNOISiBPvRBBagJrgtF4K,0.516,0.931,9,-3.351,1,0.0784,0.00126,0.00000214,0.0892,0.647,150.044,190253
Mance Lipscomb,Texas Songster,Going Down Slow,2000,TRAAOTD128F42322FC,56WSqgq4rM9xjWg3TsmmHI,0.606,0.0731,4,-21.566,1,0.0555,0.975,0.00579,0.108,0.674,100.368,187440
Dimmu Borgir,Death ... Is just the beginning Vol.4,Master Of Disharmony,1996,TRAAPFQ128F42684DB,50KzLezRqsNDQbty6uQWNK,0.153,0.958,9,-5.637,1,0.0766,0.00000625,0.545,0.345,0.124,106.551,255200
Gary Moore,Dark Days In Paradise,What Are We Here For,1997,TRAAPIV128F1493132,49YQ21u7sH5YDNTuMWwBA3,0.542,0.745,2,-6.769,1,0.0344,0.00112,0.0043,0.235,0.444,76.929,345893
Pascal Sangla,Une petite pause,Une petite pause,2010,TRAAPLS12903CB2D40,6TyQldKDsPAbIsuBMbwhbZ,0.536,0.272,9,-14.858,1,0.0281,0.511,0.873,0.0677,0.301,92.845,243800
Bebo & Cigala,Lagrimas Negras,Inolvidable,2003,TRAAQLJ128F428E870,0R8qrfPf7j8bQ2HhqN84OS,0.57,0.338,2,-11.931,0,0.0526,0.787,0.000306,0.708,0.486,138.844,191213
Hem,Peace At Last - EP,Have Yourself A Merry Little Christmas,2005,TRAAQBF12903CF796B,005XVVuSTkz0mg176kfsvn,0.508,0.0696,5,-14.554,1,0.0352,0.937,0,0.123,0.331,85.617,133667
Bongzilla,Apogee,Witch Weed (Live),1999,TRAAQPS128F429161D,69oh4FrhyPsOWs4GAquFtL,0.115,0.905,9,-7.437,1,0.131,0.000188,0.209,0.189,0.193,83.979,397267
Busdriver,RoadKillOvercoat,(Bloody Paw On The) Kill Floor,2007,TRAAQIH128F428BDEA,3aH79EQHU3qAFsscmBVyE3,0.768,0.836,6,-5.64,1,0.172,0.175,0,0.298,0.731,77.509,192120
Lily Allen,Alright_ Still (Deluxe),U Killed It,2006,TRAAQCK128F92E8C33,6ZJQ8lOeIgyMAGd8vb48wH,0.645,0.647,4,-6.194,0,0.0342,0.0504,0.000069,0.0672,0.605,77.999,264852
Bizarre Inc,Surprise,Miracle,1996,TRAAQOH128F4265CE6,0zu5eWzHfUXujd1Ea96XiC,0.613,0.783,1,-9.03,0,0.0291,0.00895,0.00812,0.205,0.415,139.826,420133
The Gone Jackals,Bone To Pick,Not Buried Deep Enough,1995,TRAAQUC128F9322A82,24pQRk3gcgGmJkmbqUYaa8,0.395,0.886,4,-13.165,1,0.0615,0.000387,0.0000148,0.0938,0.224,101.562,229800
The Killers,Hitzone 49,Spaceman,2008,TRAARHS128F931689D,1A8SxnqRK3qabmuN2qxIpa,0.525,0.904,4,-5.488,1,0.0532,0.00257,0.000648,0.12,0.803,151.988,284547
Rage Against The Machine,Live at the Grand Olympic Auditorium,Kick Out The Jams,2000,TRAASKQ128F4265E04,2rqrgNkiWg072vbo81h02j,0.44,0.937,2,-2.418,1,0.0623,0.000422,0.0000235,0.799,0.498,116.42,190693
Bone Thugs-N-Harmony / Akon,Strength & Loyalty,Never Forget Me,2007,TRAASGM128EF34DBB0,05glT9hviwa6ZuZoXt0Pnp,0.663,0.491,1,-7.194,1,0.0601,0.0304,0,0.0952,0.0427,76.957,286240
Korn,Issues,Hey Daddy,1999,TRAASUZ128F9314950,0mso7AHSDbdMadC1wCVhcu,0.465,0.803,7,-6.764,1,0.0452,0.0000518,0.0465,0.0809,0.493,93.899,224680
Moonsorrow,Kivenkantaja,Ukkosenjumalan poika,2001,TRAASIG128F92C3A6B,5Q4C8VaLurW0iQYb946Nw4,0.195,0.977,9,-5.166,1,0.1,0.00000153,0.824,0.103,0.107,115.225,369573
Orbital,The Altogether,Illuminate,2001,TRAASFP128F42980BD,5TAYKGQpWt8lD50Gc6PhfE,0.597,0.837,5,-6.382,1,0.0385,0.000863,0,0.107,0.531,125.971,328000
Rise Against,Revolutions Per Minute,Amber Changing,2003,TRAASQC128F93480F0,3SzAghJfbmcEIMmLRJ2Wzd,0.315,0.968,10,-3.554,0,0.139,0.000177,0.0000938,0.129,0.518,105.692,176147
Ultraviolence,Psycho Drama,Murder Academy,1995,TRAASSO12903CDD2FF,5MpRN7qiQFQLO3Prpc3Oem,0.674,0.884,1,-11.119,1,0.0855,0.044,0.861,0.0918,0.0352,105.202,303040
Mastodon,Call of the Mastodon,Shadows That Move,2001,TRAATIU128F4291A84,5LMtYvBkdln0xFr6YntzAl,0.309,0.972,1,-3.889,1,0.127,0.0000102,0.142,0.202,0.564,134.013,233587
Alexandre Desplat,L'enquête corse - bof,Palmer enquête,2004,TRAATQC128F425AF61,3b0bVxMzB99z3R5FLU7UiN,0.698,0.268,7,-15.949,0,0.0343,0.823,0.946,0.0742,0.872,128.043,70573
Xcultures,One World One People,Smile,2000,TRAATJK128F9339179,5CrtKlmttX7t1Yq2CYKS6w,0.315,0.301,9,-16.693,0,0.054,0.632,0.00811,0.608,0.425,121.488,38360
Tantric,Mind Control,Walk Away,2009,TRAATGM12903C9CD7C,53GPb9trDTWdDbPKLN7foz,0.514,0.973,2,-1.992,1,0.0422,0.000221,0.0000037,0.117,0.871,160.048,177253
Korn,Untitled,Ever Be,2007,TRAATNJ128F42631BA,2snI5CVCUvEbvC8bVNZxrF,0.474,0.902,0,-6.087,1,0.0491,0.000164,0.262,0.231,0.324,160.056,288733
U2,Window In The Skies,Kite Live from Sydney,2007,TRAATMY128F149562F,6pqK9tskuuzF96xJ3PPqAP,0.475,0.547,3,-7.75,1,0.0282,0.107,0.00269,0.971,0.137,133.927,485227
Soul Asylum,Candy From A Stranger,Lies Of Hate,1998,TRAAUMN128F4273561,3LzDPyIsnhzqYJXLeU7XxV,0.493,0.87,11,-6.656,0,0.033,0.00275,0.00059,0.181,0.33,103.073,279227
Gertrudis,500,Intro,2009,TRAAUGZ128F9307F78,3xDnqH2tTjzqaf6bgUREV0,0.562,0.45,9,-12.258,0,0.0279,0.529,0.000911,0.643,0.547,97.797,106520
Warrior King,Virtuous Woman,Empress So Divine,2002,TRAAUIH128F4254C9D,7iovhyFj1iPsrMVWLkEbAi,0.632,0.63,10,-4.851,1,0.0704,0.162,0,0.0385,0.728,80.66,224280
Jimmy Wakely,Country Masters Vol 1,Beautiful Brown eyes,2001,TRAAUWD128F930DD4E,5Vi6etqHBiBbSunL3vhdTc,0.557,0.175,2,-14.638,1,0.0318,0.92,0,0.137,0.386,109.612,152133
Horace Andy,Exclusively,Musical Episode,2005,TRAAUSW128F426646E,0UoCm5n1uEyKNpdLjz6rCi,0.681,0.681,1,-8.307,1,0.217,0.114,0.0088,0.044,0.811,154.446,197707
Placebo,Sleeping With Ghosts,English Summer Rain,2003,TRAAUEO128E0780CB9,0lmXvQcZyRHKfXZxs1lbqC,0.573,0.909,10,-7.894,0,0.0516,0.00418,0.00333,0.0825,0.517,108.27,241467
!!!,Myth Takes,Myth Takes,2007,TRAAVRJ128F92FF90A,19plwOsYLdF68361d17aAb,0.754,0.77,11,-7.83,0,0.0272,0.133,0.747,0.293,0.904,97.109,143987
Nightwish,Made In Hong Kong (And In Various Other Places),Escapist,2007,TRAAVIT128F92E657C,6c51kuQ2TIxkGdfslPiSqD,0.512,0.926,7,-3.556,0,0.0371,0.000473,0.843,0.345,0.354,143.954,296773
Sandi Thom,The Pink & The Lily,Wounded Hearts,2008,TRAAWOR128F92DF3C8,1KeGl2pXVuXnFitOcYlEy2,0.343,0.669,4,-3.493,1,0.0363,0.319,0,0.105,0.578,169.874,205200
Dean Martin,Love From&The Rat Pack,Until You Love Someone,2005,TRAAXIR128F92D1938,0YoSj1PJDzHQX3OdvP42wR,0.304,0.147,3,-16.031,1,0.0313,0.924,0.00846,0.228,0.159,79.89,166987
Strata,STRATA,Part One From Triomusic,2004,TRAAXKI128F92DAC1B,6pZBZ0Jhp0KqHxJxdZBC8I,0.495,0.0619,2,-20.571,1,0.0745,0.965,0.445,0.0984,0.0911,124.213,377667
Rodney O & Joe Cooley,Get Ready To Roll,Nutty Block,1991,TRAAXEJ12903CA7253,0PbFzJvzQeqhBUE5mCjEJg,0.79,0.704,4,-9.964,0,0.258,0.0137,0,0.304,0.618,175.484,171642
Gene Clark,Echoes,Set You Free This Time,1998,TRAAXUY128F426BA55,1d6tP60WXRTslVrmvMgRDJ,0.592,0.423,2,-12.923,1,0.0264,0.646,0,0.0745,0.801,98.545,168373
Malkit Singh,Hai Shava,Hai Shava,1993,TRAAXCM128F427F97B,0XAImgGL6B1HWGTiZLPKGk,0.703,0.842,5,-7.217,1,0.042,0.66,0,0.938,0.965,106.134,336602
Abraham Laboriel,Guidum,Exchange,1995,TRAAYTI128F933663B,0zc8NWba2nQe4svmY250QH,0.6,0.665,11,-8.665,0,0.0301,0.174,0.511,0.0448,0.969,139.807,368173
Lisa Lynne,Seasons Of The Soul,Isla del Luna,1999,TRAAZPJ128F4292DB5,0yDvzHRILdWVCYjKmkRr5B,0.799,0.324,2,-14.581,1,0.0315,0.756,0.863,0.157,0.207,96.036,316493
Sticky Fingaz,Oh My God,Oh My God,2000,TRAAZBD128F427A97D,7f2lXpjFGd8Fkv8yybWJ3K,0.723,0.824,1,-5.488,1,0.254,0.00599,0,0.932,0.441,90.995,266453
Tiny Tim,Live! At The Royal Albert Hall,I Hold Your Hand In Mine [Live At Royal Albert Hall],2000,TRABAFP128F931E9A1,22vqeGWiaOdGf06SvCOlLF,0.384,0.225,5,-23.854,0,0.458,0.844,0,0.751,0.64,159.034,43373
Backstreet Boys,Just Want You To Know,Larger Than Life,1999,TRABAFJ128F42AF24E,6sbXGUn9V9ZaLwLdOfpKRE,0.661,0.973,0,-2.994,0,0.037,0.11,0.0000174,0.617,0.75,108.037,232827
Glad,Simply Glad,Blessed Assurance,1993,TRABAZH128F930419A,60JNevpOBPto1EMhU4hlHk,0.24,0.222,2,-12.885,1,0.0299,0.672,0,0.123,0.362,93.539,271600
Mitch Ryder,American Legend,Jenny Take a Ride,2004,TRABBXU128F92FEF48,4v54kMGcJUKYBj7fVkh3Uu,0.57,0.946,5,-5.624,1,0.073,0.276,0,0.441,0.854,100.302,216493
Gwen Stefani,Love Angel Music Baby,Harajuku Girls,2004,TRABCUQ128E0783E2B,3L7P7HZVQ3wxzKoUyxaC9H,0.876,0.821,3,-4.402,0,0.0651,0.109,0,0.114,0.856,114.013,290520
40 Grit,Nothing To Remember,Intro,2003,TRABCTK128F934B224,5OyiUwH6ZMzG1WXqe9Djk3,0.748,0.265,9,-16.597,1,0.947,0.894,0,0.273,0.718,80.911,58667
Danilo Perez,. . . Till Then,Native Soul,2003,TRABCEC128F426456E,2hbjCtRyFg0jlSiRTgJjzM,0.533,0.372,7,-15.594,1,0.0333,0.777,0.861,0.214,0.399,106.266,196133
Steve Morse,Major Impacts,Prognosis,2000,TRABCXB128F4286BD3,37E6zukAEyXZTmkLLs5DRv,0.338,0.665,4,-8.118,1,0.0282,0.0126,0.834,0.0857,0.415,169.976,365240
Marc Shaiman,The Bucket List,City Slickers,2008,TRABCRU128F423F449,5KJo5xRdnootBfkcGMvn9O,0.632,0.183,4,-16.583,1,0.0934,0.985,0.903,0.0864,0.265,135.083,149813
Sophie B. Hawkins,Whaler,The Ballad Of Sleeping Beauty,1994,TRABCIX128F4265903,6sgBRTXbKgYsFWfVJmhl1d,0.664,0.76,9,-6.121,1,0.0311,0.473,0,0.0682,0.443,105.003,305173
Neil Sedaka,Love Songs,Because Of You,1999,TRABDZC128F42AC23F,37iwFRMBQ46R6c0Xl2CG22,0.25,0.333,7,-8.347,1,0.0285,0.786,0,0.0926,0.3,81.089,170840
Lisa Lynne,Daughters Of the Celtic Moon: A Windham Hill Collection featuring Lisa Lynne,Lake Of Dreams,1998,TRABDVD128F4292CDF,5YSX6FteUnDU7LAexJY8f0,0.579,0.259,0,-12.191,1,0.0291,0.969,0.919,0.134,0.0667,94.044,298107
Natural Elements,Lyricist Lounge Vol. 1,Mayday,1998,TRABDTV128E0791839,18KQjn8PDsUFqydJXGl4Vt,0.718,0.763,1,-6.58,1,0.276,0.0231,0,0.171,0.623,92.988,338133
Story Of The Year,Live In The Lou,Swallow The Knife (Live) (Segue),2005,TRABDSK128F42443F1,2xkX7kxpDCtASJVlhDujWZ,0.167,0.443,1,-8.262,0,0.031,0.352,0.865,0.36,0.0388,66.164,75573
A Static Lullaby,Rattlesnake!,Rattlesnake!,2008,TRABEBP12903C9BA03,3L12dlHEFjoaMz2sn2CWK6,0.453,0.988,2,-6.067,1,0.116,0.0000398,0.0000189,0.188,0.136,100.482,213507
Coph Nia,That Which Remains,Doppelgänger [Qliphothic Phantasmagoria],2000,TRABEFN128F92D925B,4QJYjzP8e6l3MGC4aRLydl,0.176,0.233,5,-18.967,0,0.0586,0.717,0.914,0.0914,0.0793,132.614,658013
Stew,Something Deeper Than These Changes,Tomorrow Gone,2003,TRABERS128F4247FE1,60LlFZ5WoWJ36flNlYyjhw,0.555,0.286,7,-9.929,1,0.041,0.811,0,0.112,0.509,100.487,178947
All Time Low,So Wrong_ It's Right,Shameless,2007,TRABFKN12903CAF61B,1xYxm9htvaJF1rbm0mjaJe,0.319,0.936,2,-2.522,1,0.0489,0.00178,0,0.0852,0.587,182.993,221733
Debbie Davies,Round Every Corner,Little Sister,1998,TRABFTP12903CE6A47,0EcAQw6259WS1gEyQzzYOv,0.779,0.648,2,-6.638,0,0.0313,0.163,0.000251,0.21,0.904,116.962,226373
Regina Belle,Passion,Quiet Time,1993,TRABFQC128F4265349,0JMqKxcGZo1nsKrBVWmUIh,0.604,0.692,7,-9.039,0,0.0489,0.277,0,0.0713,0.626,92.653,307333
Die Fantastischen Vier,Jetzt geht's ab - Jubiläums-Edition,Böse,1991,TRABGMB12903CF50FE,5XKRETaA1uC4Ao9EcSDGIp,0.746,0.902,1,-13.113,1,0.0939,0.0107,0.000111,0.0313,0.881,120.001,150000
Orquesta Aragón,10 De Colección,Ven Morena,2003,TRABGWT128F9334E43,7lYCRlwSaSQLZZn95kx6fm,0.85,0.667,9,-8.818,0,0.0384,0.447,0.000193,0.263,0.976,102.84,186456
Avril - Remix By Ana Rago,The Date - Dated Girls Remixes,The Date (Remix By Ana Rago),2002,TRABGIA128F4226F8A,5F7KqjbUmMtugUSkTsYx4w,0.28,0.235,6,-17.791,1,0.0439,0.807,0,0.223,0.26,117.898,188333
Dropkick Murphys,Live On St. Patrick's Day,Bloody Pig Pile (Live),2002,TRABGZL128F428A25B,0eeERwVPOzcfuZuvjNIbkY,0.351,0.942,10,-4.653,1,0.111,0.00217,0.0000806,0.971,0.21,92.04,194678
Taint,Secrets & Lies,Hex Breaker,2009,TRABHBA128F424CF80,6lbcieT35bY6G1drEehHum,0.3,0.851,1,-4.113,0,0.0719,0.0000384,0.0000143,0.306,0.309,92.2,281467
Bullet For My Valentine,The Poison,Suffocating Under Words Of Sorrow (What Can I Do),2005,TRABHVL128F92EFB0E,1sI3qZAGCUs7jbgyPzSWLj,0.221,0.976,7,-2.274,0,0.178,0.00075,0.00000103,0.228,0.553,189.842,215533
Charanga Forever,La Charanga Soy Yo,Tumba Tumba,2000,TRABHTQ128F92DB038,3mdvcSbNhDhbuDbETvFpxa,0.448,0.936,1,-4.694,1,0.0632,0.507,0,0.205,0.663,101.945,364704
Rise Against,This Is Noise,Everchanging,2001,TRABIQP128F427D0DD,3kBsC6wa9kCRRreFZnw4C4,0.544,0.381,11,-6.111,1,0.0341,0.519,0.00000146,0.116,0.233,120.025,261907
Helen Love,Radio Hits,So Hot,1994,TRABIWU12903CDF3B7,78X6poKjO5Slphzr3QsliW,0.738,0.881,10,-6.501,1,0.161,0.159,0,0.352,0.673,100.629,81973
Amy Winehouse,Take The Box,Stronger Than Me,2003,TRABJIX128C7196953,5FNDpQSkgFiRdUKGfagIRJ,0.884,0.51,9,-4.679,0,0.0392,0.0436,0.000333,0.0615,0.855,91.453,211987
George Lopez,Tall_ Dark & Chicano,Only For The Young,2009,TRABJOT12903CD66AA,0VqTy4Xiyg2CAPZ5PZgaWh,0.432,0.984,9,-8.041,1,0.894,0.817,0.0000216,0.867,0.0325,112.036,345240
Jackie Edwards,Roots And Culture Volume 3,So Jah Seh,2006,TRABJRW128F92EEABD,2W47xulOCbukZ2AGpVcRD2,0.651,0.919,3,-2.712,0,0.105,0.00176,0.715,0.375,0.601,171.993,253411
